Stay_Up_Before_an_Exam Learn_More Be_Tired Exam_Performance
F F F High
T T F High
F T F High
T T T Low
F F F High
T T T Low
F F T Low
T T T Low
T T T Low
T T T High
F F F High
F T T High
T T T Low
T F T Low
F T T Low
F F F High
F T T High
F F F Low
T F T Low
F F F Low
F F F Low
F F F High
F F T High
F F T Low
F F F High
F F F Low
F F F Low
F F T Low
T F F High
F F T Low
F T F High
F F F Low
F F F Low
T T T High
T T T High
F F F High
F F F High
F F F Low
F F T Low
T T T Low
T T T High
T T T Low
T T T High
T T T Low
T T T Low
F F F High
T F F Low
T F T High
F F T High
T T T Low
T T T High
T T F High
T T T Low
F F T Low
F F F High
T T T Low
T F T Low
F F F Low
F F F High
T T T Low
F F F Low
T T T High
T F F High
T T F Low
F F F Low
F F T Low
T T T Low
F F F Low
T T T High
F F F Low
T T T Low
T T T Low
F T F High
T T T Low
F F F Low
T T T High
F F F Low
F T F Low
T T T High
T T F High
T T F Low
F F F High
T T T Low
T T T Low
F F F Low
T T T High
F F F High
T T T Low
F F F High
T T T High
T T F High
T T T Low
F F F High
F T F High
T T F High
F F F Low
T F T Low
T F F High
F F F Low
F F F Low
F F F High
F T T Low
T T T High
F F F Low
T T F High
T T T Low
T F T Low
T T T High
F F T Low
T T T Low
T T F High
F F F High
F F F Low
F F F Low
T T T High
T T T Low
T T T High
T T F High
T T T Low
T T T Low
F F F Low
F F F Low
T T T Low
F F F Low
T T T Low
F F F Low
T T T Low
F F F Low
T T T Low
F F F Low
F F F Low
F T F High
T T T Low
F F F Low
F F F Low
T F T Low
F F F High
T F T Low
F F T Low
T T T High
T T T High
F F F High
F T F Low
F F F Low
T F F Low
T T T Low
F F F Low
T T T High
T T T High
T F T High
T T T Low
T T T Low
T T T High
T F F Low
T T T High
F F F High
F F T High
T T T Low
T T F High
T T T Low
F F F High
F T F High
F F F High
F F F Low
F F F High
T T T High
T T T High
T T T Low
T F T Low
T F F Low
F F F Low
F F F Low
T T F High
F F F High
T T F High
T T F High
T F F High
F F F High
F F F High
T T T Low
T T F Low
F F F High
T T T High
F F F High
T T T High
F F F High
T T F High
F T F High
T T T Low
T T T Low
F F F Low
F F F High
T T T High
F F F Low
F F F High
F F F High
F F F Low
T T T Low
F F F Low
F F F High
F F F High
T F F Low
F F F Low
T T T Low
F F F Low
F F T Low
F F F High
F F T Low
F F F High
F F T Low
T T F High
T F T High
T F T Low
T T T High
T T F High
T T T Low
T T T Low
T T F Low
F T F High
F T F High
T T T Low
F F T Low
T T F High
F F T Low
F T F High
F F F Low
T F T Low
T T T High
F F F High
T T F High
F F T Low
F F F High
F F F High
T T T High
F T T Low
F T F High
T T T High
T T T Low
F F F High
T T T High
F F F High
F F F Low
F F F High
F F F High
T T T High
F F F Low
T T T High
F F T Low
T T T High
T F T High
T T F Low
F F F High
F F F Low
T F T Low
T T F High
T T T Low
T T F High
F T F High
F F F High
F F T Low
T T T Low
T T T Low
F F F High
T T T Low
T T F Low
F T F Low
T T T Low
F F F High
T T T High
T F T Low
T T T High
T F T Low
T F T Low
T T T High
F F F Low
F F F Low
T T T High
T T T High
F F F High
F T T Low
T T T High
F F F High
T T T High
T F T High
F F T Low
T T T Low
F F T Low
T T T High
F F F Low
T T T High
T T F High
T F T Low
T T T Low
T T T Low
T T T High
T T F High
F F F High
T T T Low
F F F Low
F F F Low
F T F High
F F F Low
F F F High
T T F High
F F F Low
F F F High
T T T High
T T F High
F T F High
F F F Low
F F F High
F T F High
T T T Low
F F F High
F T T High
F F F Low
T T T High
T F T Low
T T F Low
F F F High
T T T Low
T T T Low
F T F Low
F F F Low
T T T High
F F F Low
F F T High
T T F High
F F T Low
F F F Low
F F F Low
T T T Low
T F T Low
T T T High
F F F High
T F T Low
T T T High
F F F Low
T T F High
T T F High
F F T High
T T T High
F F F Low
F F F High
T T T High
F F F Low
F F F Low
T T T High
F F F High
T T T Low
F T F Low
F F T Low
T T T Low
T T T High
T T F High
T T T Low
F F F Low
F T F Low
F F F Low
T F T Low
T T T Low
T F T Low
F F T Low
T T T High
F F F Low
F F F Low
T T F High
F F T Low
F F F Low
F F T Low
F F T Low
F F F Low
F F F High
F F F High
T T T Low
F F F High
T F T Low
T T T High
F F T Low
T T F High
T T T Low
F F F High
F F F High
T T F High
T T T High
T T F Low
T T T High
F F F High
T T T High
F F T Low
T T T High
T T T High
F F F Low
T T T High
T T F Low
F F F High
F F F Low
F F F Low
T T T High
T T T High
F F T Low
T T T Low
T T T High
F F T High
T T T Low
F F F High
T F T Low
F F F Low
T F T Low
F F F Low
F F F High
T F T Low
F F T Low
F T F High
F T F High
F F F Low
F F F Low
F F F High
F T F High
T T F Low
T F T Low
T T T Low
F F F Low
T T T High
T T T Low
T T T Low
F F F High
T T T Low
F F T High
T T T High
T T F Low
F F F Low
T T F High
F F F Low
T T F High
F F F Low
F F F Low
T T T High
F F F High
T T T Low
F F F High
F F F Low
F T F High
F F F Low
F F F Low
F F F High
F F F Low
F F F Low
T F T Low
F F F Low
T T F High
F F F High
F F F Low
F F F High
T F T High
T T T Low
F F F High
F F F Low
F F F Low
F F F Low
F F T High
T F T High
T F T Low
F F T High
T T F Low
F T T Low
T T T Low
T T T Low
F T F Low
F F F Low
T T T High
T T T Low
T F T High
T T T High
F T F Low
F T F Low
F T F High
F F T High
T T T Low
T T T High
T T T Low
T T T High
T T T High
F F F Low
T T T Low
F F F Low
T T T High
F F F Low
T T T Low
T T T High
F F F Low
F F F Low
T T F High
T T T High
F F F High
F F F Low
T T F High
F F F Low
F F F High
F T F High
T T T High
F F F Low
F F F Low
T T F High
F F F Low
F F F High
T T T High
T T T Low
F T F High
T T T High
T T T Low
F F F Low
F F F Low
T T T Low
T T F High
T T T Low
F F F Low
T F T High
F F F High
F F F High
F F F Low
F T F High
F T F High
F T F Low
T T T High
T T T Low
F F F High
F T F High
T T F Low
T T T Low
F F F High
F F F High
T T T Low
F T F High
T T T High
T T T High
F F F High
T T T Low
T T T Low
F T F Low
F F T Low
T F F Low
F F F Low
T T T High
T T T Low
F F F Low
F F F High
T T T Low
T T T Low
F F F High
T T T High
T T F Low
F F F High
F T F High
F F F High
F T F High
T T T Low
F F F Low
T T T Low
T T T Low
F F F High
T F T Low
F F T Low
F F F High
F F T Low
T F T High
T F T Low
T F F High
F F F High
F T F High
F F F High
F F T High
T F T Low
T T T Low
T T T Low
F F F High
T T T High
F F T Low
T T T High
T T T High
F T F Low
T T T Low
T T T High
T T T High
F T T High
F F F High
F F F High
F T F High
T F T Low
T T T High
T F F Low
F F F High
F F F High
F F F Low
T T T Low
T T T High
F F F High
T T T High
F F F High
F F F High
T T T High
T T F High
T T T Low
T T T High
T F T Low
F F F High
T F F High
F F F Low
T F T Low
T T T Low
T F T High
F F F High
F F F High
T T T High
T T F High
F T F Low
F T F High
T T T High
F F F High
T T T High
T T F Low
T T T High
F T T Low
T T T Low
T T T High
F F F High
T T F High
T T T High
F F F Low
T T T Low
T T T Low
F T T Low
T T F High
F F F Low
T T T High
T T T High
T F T High
F F F Low
F F F High
T T F High
F F F Low
F F F Low
T T F High
T T T Low
T T F High
F F F Low
T T T High
F F T Low
F F F Low
F F F Low
F F F Low
T T F High
T T T High
T T T Low
T T T Low
T T T Low
T T T Low
F F F Low
T T T High
F F F Low
T T T Low
T T T High
F T F High
T T T High
T T T High
T T T High
T T T High
T T T High
T T T High
T T T High
T T F Low
F F F High
T F T High
T T T High
T T T High
F F F Low
F F F Low
F F T Low
T T T High
T T T Low
T T T High
F F F High
F F F High
T T T Low
T T T Low
F F F High
T T T High
F T F Low
F F F High
T T F High
T T T Low
T T F High
T T T High
T T T Low
F F T Low
T F T Low
T T T High
T T T High
F T F High
T F T High
F F F Low
T F F High
T T T High
F F F Low
F F T Low
T F T Low
F F F Low
F F F Low
T T T Low
F F F Low
F F F Low
T T T Low
T T F High
T T F High
T T T Low
T F T High
T T T High
T T T Low
T T F Low
T T F High
T T T Low
F F F Low
T T T High
F T F High
T T T Low
F F F Low
F F F High
F T F High
F F F High
F T F High
T T T High
T T T High
F F T Low
T F F High
T F T Low
F F F High
F F F High
T T T Low
T T T Low
T T T High
F T F Low
F F F High
T F F High
T T T High
T T T Low
T T T High
T T T Low
F F F Low
F F F Low
F F F Low
T F T High
T F F Low
F T F High
F F F Low
T T T Low
T T T Low
T T T Low
T T T High
T T T High
T T T High
F F F High
F T T Low
F F F High
T F T High
T F T Low
T T T Low
T T F High
T T T High
T F F Low
F F F High
F F T Low
F F F High
T F F Low
F F F High
F F F Low
F F F Low
T T T Low
F T T High
T T T Low
T T T High
F F F Low
F F F High
F F T Low
T T T Low
T F T Low
T F F Low
T T T Low
T T T High
F F F Low
T F T Low
F F F Low
T T F Low
T T F High
F F F High
F F T High
F F F Low
F F F High
T F T High
F F F High
T T T Low
F F F Low
T T T High
F F T Low
F T T High
F F F Low
F F F High
T T T High
F F F Low
F F F Low
F F F High
T T T Low
F F F Low
F F F Low
F F F Low
F T F High
T T T Low
T T T Low
F F F High
F F F High
F F T High
T T T High
T T T High
T T T High
F F F Low
T T T Low
T T T High
T T T Low
T T F High
F F F High
T T T High
F F F Low
T T F High
T T T Low
F F F Low
T F T High
T F F High
T T T Low
T T T Low
F F T Low
T T T Low
F T F High
F T F High
T T T High
F F F High
F F F High
T T F High
T F T Low
T T T High
F F F Low
T T T High
T T T Low
T F T Low
F F F Low
T T F High
F F F Low
F F F High
F F F Low
F F F Low
F F F Low
T F T High
F T F High
T T T High
T T F High
F T F High
T T T High
F F T Low
F F F Low
T T T High
F F F High
F F T High
F F F High
F F F Low
F F F Low
T T T High
T T T Low
F F F High
T T T High
T F F Low
F F T High
T T F High
T T T High
F F T Low
T T F High
F F F High
T T T Low
F T F High
F F F Low
T T T Low
T T T Low
T T T Low
F F F Low
T T T High
F F T Low
T T T Low
T T T Low
T T T High
T T T Low
T T F High
T T T Low
F F F High
T T T Low
F F F Low
F F F Low
F F F Low
T T T Low
T T T High
F T F Low
T F T Low
T T T Low
T F T Low
T T T Low
T T T Low
F F T Low
T F T High
T T F High
F F F Low
F T F Low
T T T High
T T T Low
F F F Low
T F T High
F F F High
T T T Low
T T T Low
F F F Low
F F F High
T T T High
F F F High
F T F Low
F F T High
F F F High
F F F High
F F F Low
F F F High
T T F High
F T F Low
F F T Low
F F F Low
F F T Low
T T T Low
T T T Low
T T T Low
F F F Low
T T F High
F T T High
F F F Low
T T T High
T T F Low
T T T Low
T T T High
T T T High
T T T High
T T T Low
F T F High
F F F Low
T T T Low
T T T High
F T F Low
T T F High
T F F Low
F F F High
T F T Low
F F F High
T T T Low
F F T Low
T T F Low
F F F Low
F T F High
F F T Low
F F F Low
F F F Low
T T F High
T T T Low
F F F Low
T T F High
F F F High
F T F High
F F F High
T T T Low
T T T High
T T T High
T T T High
T T T High
T T F High
F F T Low
T T F High
T T T Low
F F F Low
F T F Low
T T T High
F F T High
T T T High
T T T High
F F F Low
F F T Low
F F F Low
F F F High
F T F High
F F F High
F F F Low
T F T Low
F T F High
T T T Low
T T T Low
F F T Low
F F F Low
T T T High
F F F High
T T T Low
F T F High
F F F High
T T F High
T T F High
T T T High
T T T Low
F F F High
F F T Low
T T T Low
F F F High
T T T Low
F T F Low
F F T Low
F F F Low
F F F Low
F T F High
T T T Low
F F T Low
F F T Low
F T F Low
F T F High
T T T High
F F F Low
F F F Low
F F F Low
T T T High
T F T Low
T T T Low
T F F High
T F T High
F F F High
T F T Low
F F T Low
F T F High
T T T Low
T F T Low
T T F High
F T F High
T T F High
T T T High
T F F High
T T F High
T T T High
F F T Low
T F T Low
T T T Low
T T T High
T T T Low
T F T Low
T T T High
F F F Low
T T T High
F F F High
F F T Low
F F T Low
T F T Low
F F T Low
F F F High
F F F High
T T T Low
T T F High
F F T Low
F T T Low
F F F Low
F F T Low
F F F Low
F F T Low
T T T High
F F T Low
T T T Low
F F F High
T T T Low
F T F High
T T F High
T F T Low
T T T Low
T F T Low
T T T Low
T T T High
T T T Low
F F F High
T F T High
F F F High
T T T Low
T T F High
T T T Low
T T T High
F F F High
T T T High
T T T High
F F F Low
T T T High
T T T High
T T T High
T F T Low
F F F Low
T F T Low
F F F High
T F T Low
T T T High
F F F Low
F F F Low
F F F High
T T T Low
T T T High
T T T Low
F F F Low
F F F High
T T T High
F F F Low
F F F High
F F F Low
F F F Low
F F F Low
F F F High
F F F Low
T T F High
T T T High
F F F High
F T F Low
T F T Low
F F F High
F T T High
T T T Low
T T T Low
F F T Low
T T T High
F F F High
T F T Low
T T T High
T T T Low
F T F High
F F F Low
T T T Low
F F F High
T T T Low
F F F Low
T T T High
T T T Low
F F F Low
T T F High
T T T Low
T T F High
T T T High
F T F High
F F F High
T T F High
F F F High
T T T Low
F F F High
T T T Low
F F F Low
F F F Low
T F T Low
T T T High
T T T Low
T F T High
T T T Low
T T T Low
F T F High
T T T High
F F F High
T F T Low
F F F High
F F F High
T T T Low
T T T High
F T F High
T T T Low
F F F High
T F F Low
F F T Low
T F T Low
T T T Low
T T T Low
F F F Low
T T T Low
F T F High
F T F High
T T T Low
F F T Low
F F F Low
T T T High
F F T Low
F T T Low
F F F Low
F F F High
F F T Low
T T T Low
F F F High
T T T Low
F F F Low
T T T Low
F F T Low
T T F Low
F F F Low
T T F High
F F T Low
F F F High
T F T Low
F T F High
T T T High
F F F High
T T T High
F F F Low
F F F Low
F F F Low
F F F High
F F F Low
F F F High
F F T Low
T T T Low
T T T Low
F F F Low
F F F Low
F F F Low
F T F High
T F T Low
F F T High
T T T Low
F F T Low
T T T High
T F T Low
T T T High
F F F Low
T T F High
T T T High
F F F High
T T T High
T T T Low
T T T Low
T T T Low
T T T Low
F T F High
T T T High
T T T Low
F F F Low
T T T Low
T F T High
T T F Low
F T T Low
F F F High
T T F High
F F T Low
F F F Low
F F F Low
F F F High
F F F High
F F T Low
T T T High
T T T High
F T F High
F F F High
F F T Low
F F F Low
F T T Low
T T T High
T T F High
T T T Low
F F F Low
T T T High
F F F High
T T T Low
F T F High
F F T Low
F F F Low
T T T High
F F F Low
F F F Low
T T T Low
F T F High
F F F Low
T T T High
F F F Low
T F F Low
F T F High
T F T Low
T T T Low
F F F Low
F F T Low
T T T Low
T T F High
T F F High
T T T Low
T T T High
F F F Low
F F F High
F F F Low
T T T High
F F F Low
F F F Low
T F F Low
T T T High
F T F Low
T T T Low
T F T Low
T T T High
T F T High
F F F Low
T T T Low
T F T High
T T F Low
F F F Low
T F T Low
T T T High
F F F Low
T T F High
F F F Low
F F F Low
T F T Low
T T T Low
T T T High
T T T Low
F T F High
F F F High
F F F High
T T T High
F F F Low
F F F Low
T T T Low
T T T Low
F T F High
F F F Low
T T T Low
F F T High
T T T High
F F F Low
F F F Low
T T T Low
F F F High
T F T Low
T T T High
T F F High
F F T High
F F F Low
T T T High
F F T Low
T T T Low
T T T Low
F F F Low
T T T Low
T T T High
F T T Low
F F F Low
F F T Low
F F F High
F F F High
T F F Low
F F F Low
F F T Low
T T F High
F F T Low
F F F Low
F F F Low
F F F Low
T T F Low
F F F High
F F F High
F F F High
T T T High
F F F High
F F F High
T T T High
T T T Low
T T T Low
T F T Low
T F T Low
F F T Low
T T F High
T T T High
F F F Low
T F T Low
F T F Low
T T T High
F F F Low
T F T Low
F F F Low
F F F High
F F F High
F F F Low
F F F Low
F T F High
T T T Low
T T T Low
T T T High
F T F High
T T T High
F F F Low
T T T Low
T T F Low
F F T Low
T T T High
T F T High
F F F Low
T T T High
T T T High
T T T Low
T T T Low
T T T High
T T T Low
F F F High
F F F High
T T F High
T T T High
T T T Low
F F T Low
F F F Low
T T T High
T T T Low
F F F High
T T T High
F T F Low
F T F High
F F T Low
T T T Low
T T T Low
F F F Low
F T F High
T T F High
T T T Low
T T T High
T T T High
F F F Low
F T F High
F F F Low
T T T Low
T T T High
T F T Low
F T F High
F F F High
F F F Low
T T T Low
T F T Low
F T F High
F F F High
F T F High
F F F Low
T T T Low
F F F High
T F T Low
F T F Low
T T T High
T T T High
T T T High
F F T Low
T T T Low
T T T Low
F T F High
T T F High
T F F High
F F F Low
T T T High
T F T Low
F F T High
T T F High
T T T High
F F F High
T T T Low
F F F Low
T T T High
F F T Low
T T T Low
F F F Low
T T T High
F F F Low
F F F Low
F F F High
T T T High
T T F High
F T T High
T T T Low
T F T High
T T F High
T T T High
F F F High
T T F High
T F F Low
T T T High
F F F High
F F F Low
T T T High
T T F High
F F F Low
F F F Low
T T F High
F F F Low
F F F Low
T F F High
T T F Low
T F T Low
T T T Low
T T T Low
F F F High
T F T High
F F F High
T T T Low
F F F Low
F F F High
T T F High
T T T High
T T T High
T T T Low
F F F High
T T F High
F T F High
T T F High
T F T Low
T T T Low
F F F Low
T T T Low
F F T High
T T F High
T T T Low
F T F High
F T F High
F F F Low
F F F High
T T T High
T T F High
F T F Low
F F F High
T F T Low
F T F High
T T T High
F T F High
T F T Low
T T T Low
F F F High
F F F Low
F T F Low
F F F High
T T F High
T T T Low
F F T Low
F F F High
T T T High
F F F Low
F F F Low
T T T High
T T F Low
T T T Low
T T T High
T T T High
T T T High
F T T High
F T F High
F F F Low
F F F High
F T F High
F F F High
F T F High
F F F Low
F T F High
T T F High
F F F Low
T T T Low
F F F High
F F F High
F F F Low
T F T Low
T T T Low
T T T High
F F F Low
T T T Low
T T T High
F F F High
F T F High
F F F Low
T F T Low
T T T High
T F T High
F F T High
T F T Low
T T T High
F F F Low
T T T High
T T T Low
T F T Low
T T F High
F F F Low
T T F Low
F F F Low
T F T Low
F F T Low
F F F High
F F F High
T F F High
F F T Low
F F T Low
T T T High
T T T Low
T F T Low
T F T Low
T T F High
F F F Low
T F T High
T T F High
F F F High
F T F High
F F F High
T T T High
T T T Low
T T T High
T T T High
F F F High
F T F High
F F F High
F F F Low
T T T Low
F T F High
T T T Low
T T T High
T T T High
F F F High
T T T High
T F T Low
F F F Low
T T T Low
T T T High
T T T Low
F F F Low
T T T Low
F F T Low
F T T High
T T F High
F F F High
F F F High
F F F Low
T T F High
F F F High
F F F High
T T T Low
T T T High
F T F High
F F F High
T F T Low
F T F Low
T T T High
F F F Low
T T T Low
T F T Low
F F F High
F T F Low
T F F High
T T T High
T T T High
T T T High
T T F High
T F T Low
F F F Low
T F T Low
F T F High
T F T High
T T T High
T T F High
T F T Low
T F T High
F F F High
F T T High
T T T Low
F F F Low
T F T Low
T T T High
T F T High
T F T Low
F T F Low
F F F Low
T T T Low
T T T High
F F F Low
T T T High
F F T Low
T T T High
F T F High
F T F Low
T F T High
F F F High
F F F Low
T T T High
T T F High
F F F Low
T T F Low
F F F High
F T F High
F F F Low
T T F High
F F F Low
T T F High
T F T Low
F F F Low
F F F High
F F F High
T T F High
F T F High
F F F Low
F F F High
F T F High
F F F Low
F F F High
F T F High
T T T High
F F F High
F F F High
T F T High
F F F Low
F F T Low
F F F Low
T F T Low
F F F High
T T F Low
T T T High
T T F High
T F T Low
F F F Low
T T T High
F T F Low
F T F High
F F T Low
F F T Low
F F T Low
T T T High
F T F High
F F F High
F F F High
F F F High
F F F Low
F T F High
T T F High
T T T Low
F F F Low
T T T Low
T T T Low
T T T High
T T T High
F T F High
T T T High
F T T Low
T T F High
F F F Low
F F F Low
F F F High
T T F High
F T T Low
F F F Low
F F F High
T T T High
T T T High
T F T Low
T T T High
F F F Low
F F F Low
F F F High
T T T Low
F T F High
F F F Low
T F T Low
T T F High
F F F High
T T T High
T F F High
T T F High
T T F High
F F F Low
T F T Low
F F T Low
F F F High
T T T Low
T T T Low
F F F Low
T F F High
T F T Low
T F F High
F F F Low
F F F High
T F T High
T T T Low
F F F Low
T T T Low
T F T Low
T T T High
F T T Low
T T T Low
T T T Low
T F T Low
T T T Low
F F F High
F F T High
T T F High
T T F Low
T T F High
T T T Low
T T T Low
F F F High
F T F High
F F T Low
F F F Low
T T F Low
T T T High
T F F High
T T T Low
F T T High
F F F Low
T T F High
T T T Low
F T F High
F T F Low
T T T Low
T T T Low
T T T Low
F F F Low
F F F Low
T T T Low
T T T Low
F F F Low
F F F High
F T T Low
T T T High
F T F High
F T F High
F F F Low
F T F High
F F F High
T T T Low
T T T High
T F F Low
T T T Low
T T T High
T T T High
F F F Low
F F F Low
F F F High
T T T Low
T T T High
F F F High
F T T High
F T F High
T T T High
F F F Low
T T T Low
T F F Low
T T T High
T T T Low
T T T High
T T T Low
T T T High
F F F Low
F F F High
F F F High
F F F Low
T T T Low
F F F High
T T F High
T T F High
T T T High
F F F High
F F F High
F T F High
F F T Low
T T T Low
T T F High
F T F High
T T T High
T T T Low
T T T Low
F F T High
T F F Low
T T T High
T T T High
F F F High
F T F High
T T T Low
F F F Low
F F F High
F F F Low
T T T Low
F T F High
T T T High
F T F High
T T T Low
F T F High
F F F Low
F F F High
T F T Low
T T T Low
F F F Low
F F F Low
F F F High
F F F Low
T F F Low
T F F Low
T T T High
T F F High
F F F High
T T T High
T T T Low
F F T Low
F T F High
T T F High
F F T High
T F T High
T T T Low
T F F High
T T F High
F F T Low
T T F High
T T T Low
T T F Low
F F F Low
T T F Low
F F F High
T T T High
F T F High
T T T Low
F F T Low
F F T Low
T T T Low
T T T Low
T T T Low
F F F Low
F F F High
T T F High
F F T Low
T F T Low
F F T Low
T T T Low
T T T Low
F F F High
T T T High
F F F High
T T F High
T F T Low
T T F High
F T F High
F F F Low
T T F High
F F F Low
T T F High
T F T High
T T T High
T T T Low
T T T High
T T T Low
F F F Low
F F F High
T T T High
F F F Low
T T T Low
T T T High
F F F Low
T T F Low
F F F High
T F T High
T F T Low
T T T Low
F F F High
T T F High
F F F High
T T T Low
F F F Low
F F F High
T T T High
T T T High
F T T Low
F F T Low
T F T High
T T T High
T F T High
T T F High
T T F High
T T F Low
T T T High
T T T High
T T T High
F T F Low
T T F High
T F F High
T T F Low
F T F High
F F F High
F F F Low
T F T Low
F F F Low
T T T Low
F F F Low
F F F Low
F F T Low
F F F High
F T F Low
T F T High
T T T High
T F T Low
T T T Low
T T T High
F F F Low
F F F High
T F F Low
T T T Low
F F F Low
T T T High
F F T Low
F F T Low
F F F High
T T T Low
F F F Low
T T T Low
T T F High
F F F High
T T T High
T T T Low
F F F High
F F F High
T T T High
F F T Low
T T F High
T T T Low
T T T High
F F F High
F F F Low
T T T Low
F F F High
F F T High
T T T Low
F T F High
T F F High
F F F Low
F F F Low
F F F Low
F F F Low
T T T Low
T F T Low
F F F High
T T T High
T T T Low
T T T Low
T T T Low
F F F High
T F T High
T F T Low
F F T Low
T F F Low
T T T Low
F F F Low
F T F High
T F T Low
F F F High
F F F Low
T T T High
T F T Low
T T T Low
F F F High
F F F High
F F F High
F F F High
F F F High
F F T Low
F F F High
F F T Low
F F F High
T T F High
F F F High
T F T Low
T T T High
F F F High
T T T High
T T T High
F F F High
T F F Low
F F F High
F F F Low
F F F High
T F T Low
F F F Low
T T T Low
F T F High
T T F High
F F T Low
F F T High
F F T Low
T T T Low
T F T Low
F F F High
F T F High
T T T Low
T T T Low
F F F High
F F F Low
F F F Low
F F F Low
T F T Low
T F T Low
F F T Low
T T T Low
F F F Low
T T T High
T F T Low
T F F High
T F T Low
F T F High
F F F High
F F F Low
F F F Low
T T T High
T F T Low
F F F High
F F T High
F F F Low
T F F High
T F T High
T T T Low
T T T Low
F F F High
F F F Low
T T F Low
T F T Low
F T F Low
F F F Low
T T T Low
F F T High
T F T High
T F T High
F F T Low
F F T Low
F F T Low
F F F High
T T T Low
F T T Low
T T F High
F F T Low
T T T Low
T T T High
F F F High
F F F High
T F T High
F T F High
T T T Low
T T T Low
F F T High
T T T High
F F F High
F F F High
F F F High
T T T Low
T T T Low
T T T High
F F F High
F F T High
F T T Low
T T T Low
F F F High
T T F High
F F F High
T T T Low
T T T High
T T T High
F T F High
T F T High
F F F Low
T T T High
T T T High
F F F High
F F F Low
F T F High
F F T Low
F F F Low
F F T Low
T F T Low
F F F Low
T F F Low
F F F High
T T F High
F F F High
F F F High
F F F Low
T T T High
T T T Low
T T T Low
T T F High
F F T Low
T T T High
F F F Low
F F F High
T T T Low
T T F High
T T T Low
T T T Low
F T F High
F F F Low
T F T Low
T T F Low
F F F High
T T F High
T F T Low
F F F Low
F T F High
T T T Low
F F F High
F F T Low
T T F High
F F F High
F F F Low
T T T High
T T T High
F F F Low
T T T High
T T F High
T T T High
F F F Low
T F T Low
T T T Low
F F F Low
T T F Low
T T T High
T T T Low
F T T Low
F F F Low
F F T Low
F T F High
T F F Low
T F F High
T T T Low
F F F Low
F T T High
F F F Low
T T T High
F T F Low
F F F High
T T T High
F F F High
T T T High
F T F High
F F T Low
T T F High
T T T Low
T T T Low
F T F High
F F T High
F F F High
T F T Low
T F T Low
T T T High
T F T High
T T T Low
T T T Low
T T T Low
F F F High
T T T Low
F F F Low
F T F High
F F F High
T T T Low
F F T High
T T T High
T T F Low
F F F High
T T F Low
F F F High
T T T Low
T T T High
T T F High
T T T Low
F F F Low
F F T Low
F F T Low
F F F High
T T T Low
F F F Low
T T T High
T T T Low
F F F Low
F F F High
F F F High
F T F High
F F F High
F T F High
F F F Low
T F F Low
F F F Low
T T T Low
F T F High
T F T Low
T T T High
F F F Low
T T T High
T F T Low
T T T High
T F F Low
F F F High
F T F High
F F F High
T T T Low
F F F High
F F F High
T T T Low
F F F High
T T T High
F F F Low
F T F High
F F F Low
F F T Low
T T T Low
T F F Low
F F F Low
T T T Low
F F F High
T T T High
F F F Low
T F F Low
T T F High
F T F High
F F F High
T T T High
F F F High
F F F Low
T T T High
F F F High
F T T High
F F F Low
T T F Low
T T T Low
F F F High
F T T High
F T F High
F F F High
T T T High
T T T High
T T T Low
T T T High
F F F Low
T T F High
T F T Low
T F F High
F F F High
T T T Low
F T T High
T T T High
T F T Low
T T T Low
F F F High
F T T Low
F F F Low
F F F Low
F F F Low
T T T High
F F F Low
F F F High
T T T Low
F F F Low
F F T Low
T F T Low
T T T Low
T T T Low
F F T High
F F F High
F F F Low
T T T Low
T T F High
F F F Low
F F F High
T T F Low
T F T Low
T T T Low
T T T High
F F T Low
T T T High
T F F High
T T T Low
T T T High
T F T Low
F F F High
F F F High
F F F Low
F F F High
T T T High
T T T High
T T F Low
F T F High
T T T Low
T T T High
F F F Low
T F T Low
F F T Low
F F F Low
